C45,RandF
-0.6038,-502.3083
-0.8489,-272.4195
-0.6427,-273.5031
-0.8289,-268.8113
-0.8835,-280.685
-1.1622,-72.6656
-0.5445,-61.774
-0.6638,-85.5875
-0.3358,-36.3897
-0.3673,-30.0339
-48.9427,-2292.9036
-42.864,-2269.0205
-34.8206,-2265.0224
-44.1758,-2391.8947
-33.1588,-2330.1885
-1.5365,-97.6697
-0.8073,-93.9238
-0.4276,-103.8292
-0.563,-86.7128
-0.5792,-108.1163
-0.4547,-76.9446
-0.7521,-81.1688
-1.2732,-71.9994
-0.4307,-75.8875
-0.9221,-75.3508
-3.952,-207.9918
-3.6914,-204.0681
-2.5541,-164.7479
-2.0537,-159.2801
-2.4513,-163.1214
