C45,RandF,RandF500,TunedC45
-2.3161,-46.1288,-755.7925,-4.3305
-2.0774,-50.5346,-662.0737,-4.1111
-1.2945,-38.4191,-689.037,-3.9455999999999998
-2.1625,-44.7155,-822.5062,-4.9551
-2.2312,-40.5787,-840.7495,-4.9437
-1.5104,-21.0566,-44.1295,-0.6045
-2.1005,-8.1361,-75.2833,-0.5755
-1.2685,-9.9332,-80.599,-0.5773
-1.1671,-15.3007,-44.5788,-0.5375
-0.8418,-8.033,-51.4916,-0.5372
-104.3604,-230.7501,-6466.1297,-188.7659
-82.4327,-138.0857,-6531.6367,-189.2454
-137.9704,-207.9314,-5087.1918,-189.8617
-94.1268,-233.806,-4080.4338,-189.5974
-78.3592,-152.0497,-3803.5285,-190.3953
-0.7883,-5.6433,-109.6387,-0.7515
-0.9243,-5.612,-115.5878,-0.7443
-1.6013,-5.9044,-116.8079,-0.7578
-1.35,-5.8081,-116.3109,-0.7396
-1.0392,-9.454,-118.1587,-0.7974
-0.5373,-5.971,-88.2199,-1.7095
-0.6327,-4.066,-91.9003,-1.6509
-1.1656,-4.8538,-92.575,-1.6162999999999998
-0.5279,-4.9829,-87.3076,-1.8239999999999998
-0.8785,-4.5118,-89.6349,-2.2658
-10.9522,-35.3612,-413.254,-51.094
-16.3494,-37.991,-432.316,-50.7638
-12.4002,-30.2416,-359.1568,-50.7153
-16.3421,-14.5328,-337.6279,-50.9755
-18.1828,-13.6016,-349.1779,-50.925
